location,year,relative_poverty
All Denmark,2019,4.4
Capital municipalities,2019,4.7
Metropolitan municipalities,2019,5.2
Provincial municipalities,2019,4.1
Commuter municipalities,2019,3.5
Rural municipalities,2019,4.3
Copenhagen,2019,5.9
All Denmark,2022,3.7
Capital municipalities,2022,4.0
Metropolitan municipalities,2022,4.6
Provincial municipalities,2022,3.5
Commuter municipalities,2022,2.9
Rural municipalities,2022,3.5
Copenhagen,2022,4.8
