"Net-wealth (median) by age, municipality groups and time"

" "," ","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Nordfyns",382762,432750,486461,536954,568065,662512,711172,820021,747140
" ","Nyborg",430354,463406,516421,548574,571852,662448,727816,826114,765554
" ","Odense",488518,550523,593287,642930,675916,758093,843776,961689,884317
" ","Svendborg",461913,491396,534861,576824,612741,700170,796004,890981,831771
" ","Ærø",426012,438306,463198,495920,485743,527902,628836,705596,600390
" ","Billund",570115,603999,649123,666660,655912,760968,822569,910398,871248
" ","Esbjerg",504160,541013,580036,632517,636200,726687,787910,898281,819274
" ","Fanø",465558,463858,515225,467256,621835,701597,794528,950181,981842
" ","Fredericia",429960,464858,512562,540359,554028,640225,707744,816334,736521
" ","Haderslev",390102,419788,466557,493864,490468,581674,639833,716508,669069
" ","Kolding",509027,553084,594003,645264,668951,751603,840913,957300,882934
" ","Sønderborg",460117,495108,522149,581679,586096,664683,725951,819310,746510
" ","Tønder",395845,406152,424642,459728,492151,557426,600575,675593,638043
" ","Varde",485682,506416,564036,577336,588214,677527,751492,833746,749985
" ","Vejen",422802,452669,487522,521606,545968,635628,715845,806947,715434
" ","Vejle",509363,546517,594213,645110,659924,758560,835923,946375,876088
" ","Aabenraa",426405,458054,500436,546379,557253,621055,675099,771706,709931
" ","Favrskov",633103,679151,752104,783775,808935,938184,1026854,1192130,1107264
" ","Hedensted",533886,565584,602535,666254,666068,755170,831840,954997,867230
" ","Horsens",501758,553945,609235,665225,700882,784608,877907,1010796,912784
" ","Norddjurs",371615,394965,417265,453549,452371,524043,584777,676089,609395
" ","Odder",573080,579168,625767,693143,734568,797261,912814,1041144,980131
" ","Randers",420523,443218,483727,538587,561161,650718,721222,816231,738138
" ","Samsø",363454,390318,418196,470666,501830,572016,601889,662593,607596
" ","Silkeborg",592727,637815,701033,759268,755522,866759,971580,1090639,1026147
" ","Skanderborg",730232,789453,832378,894685,914882,1047031,1156248,1342472,1290798
" ","Syddjurs",507304,536768,570316,622265,644260,709730,801289,925060,916483
" ","Aarhus",620197,680957,732456,783683,814630,900989,1014045,1181829,1112529
" ","Herning",582825,609426,643127,689523,698709,788722,884769,966557,890735
" ","Holstebro",565075,575615,613468,660140,695142,783700,896795,1004413,928789
" ","Ikast-Brande",508211,542519,576681,625597,656848,745393,821852,901324,791903
" ","Lemvig",485758,536745,542434,571647,566938,664304,716211,790967,709355
" ","Ringkøbing-Skjern",521148,551847,589028,642491,615207,712522,795332,884995,795261
" ","Skive",485564,502958,549496,577965,582660,673666,765164,866660,812757
" ","Struer",472797,485026,496702,517095,520681,586103,679779,768092,688422
" ","Viborg",520500,557249,602895,650880,659619,734351,841848,961650,860551
" ","Brønderslev",460899,474680,523186,537949,550686,630256,690772,771697,725460
" ","Frederikshavn",435263,444919,488751,502423,506312,565399,630080,725909,647752
" ","Hjørring",428257,446805,486982,523630,536531,612382,658501,766307,711936
" ","Jammerbugt",448851,477526,514348,567435,571768,643537,722088,809599,775467
" ","Læsø",383721,477605,507020,584314,574360,691614,711475,828151,653860
" ","Mariagerfjord",434441,450698,491161,549859,560045,652769,739729,817555,768756
" ","Morsø",427765,477940,505633,560653,545255,588082,667309,729456,671420
" ","Rebild",597051,623444,707553,740484,765735,843627,943002,1044995,980249
" ","Thisted",423820,472308,485939,544329,527986,583780,660020,769290,716077
" ","Vesthimmerlands",450545,450296,503490,542692,539094,623665,680801,765440,728101
" ","Aalborg",564970,614606,654082,709230,708853,769699,838746,938756,895282
"50-59 years"
" ","All Denmark",980406,1014814,1074724,1136529,1158040,1283738,1408388,1564995,1445400
" ","Capital municipalities",1276660,1358816,1433386,1509556,1531602,1667678,1817818,1984199,1827028
" ","Metropolitan municipalities",1058896,1101635,1160112,1221268,1237263,1343607,1470216,1628620,1514510
" ","Provincial municipalities",960002,992566,1049378,1111951,1132474,1265199,1391275,1552757,1432267
" ","Commuter municipalities",929968,955638,1019578,1087230,1121770,1253946,1373461,1545022,1427709
" ","Rural municipalities",815454,832060,881018,928979,942692,1050620,1157754,1290309,1188405
" ","Copenhagen",976652,1032238,1088452,1153883,1173737,1290630,1430126,1558928,1463590
" ","Frederiksberg",1575229,1648217,1705225,1774697,1790377,1962903,2154238,2351250,2183605
" ","Dragør",1877137,2020132,2143916,2192266,2271471,2515840,2680350,3010493,2766329
" ","Tårnby",1346561,1441803,1484667,1582673,1569163,1683918,1809048,1890165,1721374
" ","Albertslund",777843,816352,911921,944496,930761,1045027,1143656,1290786,1129479
" ","Ballerup",1096400,1129583,1221425,1299225,1298915,1461530,1576675,1722463,1553748
" ","Brøndby",779236,782214,831191,861988,875928,956676,1027876,1092494,942314
" ","Gentofte",2525871,2691178,2716705,2814149,2834287,3056573,3370033,3644551,3349818
" ","Gladsaxe",1295648,1394210,1470910,1526680,1558472,1698277,1819949,1970149,1871158
" ","Glostrup",1064563,1142890,1194230,1284885,1300438,1348950,1457949,1578294,1431250
" ","Herlev",1018929,1073412,1134452,1186385,1201033,1306558,1427541,1591958,1416900
" ","Hvidovre",1173697,1264196,1341520,1421254,1427893,1500131,1609976,1710760,1565881
" ","Høje-Taastrup",1032662,1116406,1208932,1268378,1297897,1412243,1511684,1648305,1466501
" ","Ishøj",629848,695607,783178,815030,810979,911317,948890,1043442,939937
" ","Lyngby-Taarbæk",2122093,2250023,2285773,2360782,2345402,2510442,2774853,2958009,2782632
" ","Rødovre",1094970,1144151,1208391,1288724,1268452,1418739,1502502,1625519,1401399
" ","Vallensbæk",1600479,1660555,1792071,1829232,1873157,2049559,2243075,2464794,2173186
" ","Allerød",1910975,2024124,2082541,2219654,2295340,2447565,2711495,3092162,2807619
" ","Egedal",1499093,1622255,1725152,1822770,1862177,2012234,2187808,2490063,2206786
" ","Fredensborg",1262551,1318894,1353082,1474392,1525257,1691753,1831919,2061519,1884661
" ","Frederikssund",1003505,1057451,1174326,1285010,1344292,1458519,1606538,1812096,1659837
" ","Furesø",1949483,1993633,2127607,2237712,2345726,2491578,2669444,2987238,2687878
" ","Gribskov",994229,1042921,1125783,1181964,1231955,1394965,1578520,1780126,1626258
" ","Halsnæs",753852,795854,874929,988284,1028967,1151659,1254599,1438779,1299894
" ","Helsingør",941074,1014826,1068521,1155118,1211964,1369802,1529807,1775717,1546406
" ","Hillerød",1414823,1471383,1568741,1692547,1747574,1921870,2025335,2205559,2003831
" ","Hørsholm",1943646,2076567,2132094,2244986,2301347,2470162,2829241,3253673,2901554
" ","Rudersdal",2285526,2417485,2485922,2631042,2677046,2864304,3157267,3481108,3194105
" ","Bornholm",742704,741918,818470,893562,935044,1041390,1162303,1268929,1138404
" ","Greve",1311131,1413549,1550635,1640470,1688191,1829207,1976993,2168881,1957515
" ","Køge",888113,963228,1039623,1141756,1182014,1343610,1465864,1637090,1525636
" ","Lejre",1193718,1269988,1337063,1441032,1438390,1620462,1714725,1873042,1765380
" ","Roskilde",1372510,1438552,1550226,1635468,1655578,1818250,1998176,2229989,2035394
" ","Solrød",1472101,1563396,1638286,1752339,1863060,2089726,2257629,2464609,2271299
" ","Faxe",777158,806278,862822,962018,1027747,1152333,1262085,1455581,1276228
" ","Guldborgsund",707959,718149,772226,816996,831947,949044,1045188,1159628,1045593
" ","Holbæk",885389,901115,965227,1061552,1054033,1213266,1337607,1506147,1395113
" ","Kalundborg",837239,854461,907749,965785,968816,1091042,1202048,1347663,1233719
" ","Lolland",587716,610620,639905,659086,677112,756481,828205,936000,824082
" ","Næstved",830136,861350,907346,976275,996308,1103716,1225786,1390043,1254906
" ","Odsherred",732538,770280,787993,847539,885247,1009549,1110765,1291024,1131278
" ","Ringsted",923843,951927,1017617,1085501,1096426,1225019,1335161,1527561,1370524
" ","Slagelse",787469,820047,900988,948661,971145,1069522,1170727,1316103,1184385
" ","Sorø",896804,900151,968557,1019348,1089179,1202427,1289305,1485084,1349702
" ","Stevns",873918,916279,1011161,1062431,1147056,1295384,1344250,1508681,1400404
" ","Vordingborg",705139,713411,774651,814631,858415,955515,1052745,1216844,1083734
" ","Assens",812051,815286,855264,918646,915069,1031678,1132943,1232287,1165448
" ","Faaborg-Midtfyn",819319,831978,884707,938930,968850,1081174,1219343,1333061,1239074
" ","Kerteminde",852808,878565,919181,974655,987881,1119654,1237993,1378949,1290647
" ","Langeland",664406,706839,759755,787606,806570,883310,967434,1093427,960906
" ","Middelfart",899260,942924,960694,1017093,1031887,1197638,1301180,1455293,1357452
" ","Nordfyns",799228,806659,847997,914690,926371,1062153,1131785,1290325,1207981
" ","Nyborg",783954,805149,855296,910527,956349,1077699,1181146,1310950,1198148
" ","Odense",916697,966057,1013732,1078749,1109374,1219627,1338944,1477051,1360964
" ","Svendborg",933342,956223,991483,1047315,1083046,1193107,1349147,1474638,1371916
" ","Ærø",861390,886117,897600,973921,993101,1109769,1249421,1345291,1207637
" ","Billund",982904,1018472,1089918,1136673,1148457,1291325,1394431,1542674,1470397
" ","Esbjerg",937503,965529,1010495,1057725,1067814,1209342,1313782,1453515,1351767
" ","Fanø",1076848,1054828,1160332,1031301,1206998,1235407,1358664,1602438,1524667
" ","Fredericia",866386,890182,944883,989941,1019209,1142205,1246950,1386991,1273736
" ","Haderslev",789877,808256,857697,892003,907052,1026532,1117710,1237642,1155565
" ","Kolding",906541,960077,1002155,1055253,1073948,1193302,1327248,1494439,1405039
" ","Sønderborg",816052,853680,891049,951334,959639,1084991,1180280,1315900,1239831
" ","Tønder",812401,814127,848036,880300,878802,980153,1065599,1176209,1061226
" ","Varde",955815,969550,1040208,1063882,1051888,1180906,1312777,1451105,1324320
" ","Vejen",806594,838106,883084,925339,956128,1064278,1179994,1292746,1184939
" ","Vejle",970213,1002802,1046700,1102319,1125361,1267999,1398585,1541176,1445906
" ","Aabenraa",783856,805835,869243,902538,932107,1028747,1124826,1275562,1183713
" ","Favrskov",1095666,1109065,1193381,1263086,1284450,1445478,1577151,1790654,1668077
" ","Hedensted",959703,966829,1021067,1087234,1109016,1219976,1329829,1532818,1417953
" ","Horsens",865568,896257,971313,1027263,1062486,1163021,1283421,1462274,1345390
" ","Norddjurs",751481,770710,816314,848864,844326,947112,1042027,1185397,1087431
" ","Odder",1087908,1069368,1118407,1191273,1232564,1329401,1504863,1665513,1573245
" ","Randers",792921,811096,860186,924094,947632,1059629,1172956,1300950,1193473
" ","Samsø",790077,811883,880373,871174,890917,1052938,1072099,1171571,1036402
" ","Silkeborg",1088853,1102894,1178267,1240504,1218948,1370029,1522131,1673442,1578099
" ","Skanderborg",1184898,1257068,1334203,1405020,1442338,1618098,1762003,2004402,1901185
" ","Syddjurs",957477,963237,991995,1069871,1104507,1224355,1366411,1528157,1479804
" ","Aarhus",1203848,1255038,1321386,1370000,1395546,1501057,1655507,1847477,1706532
" ","Herning",1021338,1034287,1076126,1132425,1133657,1289435,1418801,1552883,1450505
" ","Holstebro",1028243,1033294,1058098,1116529,1132359,1255737,1388625,1547869,1447384
" ","Ikast-Brande",903849,934380,984294,1026107,1068048,1165501,1278097,1429467,1307576
" ","Lemvig",915368,947880,965457,1012091,1015884,1150183,1250545,1390600,1261630
" ","Ringkøbing-Skjern",964594,994506,1032353,1122068,1098407,1227129,1366403,1488122,1360310
" ","Skive",872335,888053,946369,984857,993979,1097391,1215884,1336809,1244724
" ","Struer",835273,835663,852431,926987,937429,1043877,1182259,1301976,1198281
" ","Viborg",991737,1004566,1059891,1122489,1128129,1248864,1379493,1517678,1381720
" ","Brønderslev",859030,877055,932068,941907,958002,1056423,1159690,1302072,1188980
" ","Frederikshavn",794240,806892,868073,905272,926371,1026465,1148141,1262155,1179416
" ","Hjørring",861650,851708,901553,951919,967784,1069489,1151610,1288452,1210525
" ","Jammerbugt",828834,847794,896991,972235,970290,1066214,1166819,1323863,1232645
" ","Læsø",810749,772888,789045,747842,749687,871052,890882,1065391,1042700
" ","Mariagerfjord",857894,856529,882995,953391,971773,1088960,1208104,1304018,1228190
" ","Morsø",770122,810918,842954,902046,917722,981961,1108824,1232311,1164545
" ","Rebild",994357,1001914,1094706,1111643,1184007,1286236,1403069,1577368,1514962
" ","Thisted",865603,876759,901070,955409,956978,1029764,1158175,1296797,1183307
" ","Vesthimmerlands",829496,806609,878767,940981,946705,1059412,1157723,1278339,1191089
" ","Aalborg",1006192,1035782,1101598,1179151,1177575,1276369,1383448,1528466,1436650
"60-69 years"
" ","All Denmark",1403117,1462221,1536492,1611937,1635754,1754695,1870036,2029075,1899614
" ","Capital municipalities",1846552,1955867,2054316,2145463,2185413,2320853,2454710,2621374,2424456
" ","Metropolitan municipalities",1540935,1612287,1692289,1778704,1803860,1932187,2048271,2197118,2059513
" ","Provincial municipalities",1377839,1440188,1517183,1597225,1621063,1738292,1857182,2019996,1889815
" ","Commuter municipalities",1368557,1421491,1494284,1573976,1604620,1727613,1843477,2018010,1896705
" ","Rural municipalities",1147664,1188914,1250918,1312751,1332189,1439789,1540831,1685929,1585996
" ","Copenhagen",1417318,1515620,1591300,1670288,1700806,1802323,1915185,2034639,1902919
" ","Frederiksberg",2277558,2395648,2495185,2582609,2641637,2758363,2934561,3097770,2922328
" ","Dragør",2632759,2661556,2809304,2894314,2911248,3076421,3287322,3498587,3296837
" ","Tårnby",1771100,1897448,2040175,2180763,2226733,2340954,2475559,2563682,2391794
" ","Albertslund",1303344,1324032,1354974,1402739,1386589,1497408,1546485,1642496,1479578
" ","Ballerup",1421520,1479471,1585284,1692785,1705066,1850948,1975795,2135808,1956889
" ","Brøndby",955590,1012410,1106122,1191567,1229829,1367404,1429698,1552013,1419628
" ","Gentofte",3514792,3706412,3850240,4013981,3997583,4257072,4542276,4841786,4570135
" ","Gladsaxe",1684351,1821246,1910102,2041194,2062991,2240168,2351167,2476729,2323183
" ","Glostrup",1469531,1506857,1590304,1711214,1722790,1829036,1948417,2097053,1868436
" ","Herlev",1403651,1448141,1524415,1596866,1633488,1756626,1821804,1913443,1768313
" ","Hvidovre",1497894,1636349,1741819,1830888,1854326,2009575,2136104,2295162,2078332
" ","Høje-Taastrup",1536079,1630919,1757629,1804643,1858219,1936206,2075120,2268094,2065255
" ","Ishøj",1153196,1249282,1275767,1310509,1271944,1319780,1396590,1456031,1273853
" ","Lyngby-Taarbæk",2773586,2922317,3072690,3219768,3286434,3536199,3703249,3973988,3606266
" ","Rødovre",1445313,1584052,1669133,1811251,1793441,1922503,1999519,2129831,1892421
" ","Vallensbæk",2232325,2334137,2442913,2568983,2560925,2738913,2993547,3184400,2909392
" ","Allerød",2594669,2725103,2902358,2990626,3114682,3328667,3542267,3935675,3666207
" ","Egedal",2181630,2296538,2395707,2462584,2515708,2648284,2831038,3134796,2824835
" ","Fredensborg",2000902,2093711,2139827,2310225,2375313,2554655,2688692,2938797,2699983
" ","Frederikssund",1446133,1556226,1682811,1759437,1812075,1894335,2027810,2194636,2120376
" ","Furesø",2628498,2747238,2961449,3040570,3060803,3286599,3524141,3831085,3566262
" ","Gribskov",1606396,1700860,1780910,1891835,1966871,2149281,2307965,2485848,2294232
" ","Halsnæs",1228597,1281162,1366193,1492240,1575306,1661920,1822153,1984754,1885364
" ","Helsingør",1583906,1660459,1745340,1818417,1842390,1986676,2083256,2328968,2108576
" ","Hillerød",2073234,2158714,2295385,2452872,2522362,2688237,2813357,3024841,2776545
" ","Hørsholm",2922665,3094517,3229538,3272809,3343980,3530106,3882444,4230481,3895634
" ","Rudersdal",3241410,3422413,3514481,3643455,3786965,3986819,4396735,4801706,4369671
" ","Bornholm",1001673,1045224,1156101,1250785,1290388,1405148,1498060,1625931,1522964
" ","Greve",1815744,1924200,2078868,2174748,2250740,2433620,2541892,2796196,2588339
" ","Køge",1360527,1453212,1571846,1630121,1694284,1801021,1934577,2112128,1983770
" ","Lejre",1777597,1918029,2043166,2152567,2177325,2330008,2447724,2613816,2453794
" ","Roskilde",2010236,2094696,2259712,2369126,2390679,2574751,2692999,2937268,2720924
" ","Solrød",1982886,2126727,2267783,2403104,2522944,2721180,2907198,3186940,2922246
" ","Faxe",1143627,1216859,1276386,1384250,1431829,1560094,1680317,1880966,1701776
" ","Guldborgsund",1045772,1081690,1163259,1208485,1208381,1346695,1437326,1609356,1484177
" ","Holbæk",1333775,1390758,1480471,1602760,1618196,1786578,1888226,2095069,1920225
" ","Kalundborg",1156172,1198121,1268823,1354793,1388618,1496924,1590374,1752088,1634643
" ","Lolland",814471,865044,914440,947870,975374,1075354,1165585,1287417,1165674
" ","Næstved",1224828,1284915,1363122,1470007,1512771,1627156,1693199,1865249,1705803
" ","Odsherred",1159086,1193859,1265888,1348173,1391921,1515827,1619267,1829045,1673416
" ","Ringsted",1286958,1346967,1420777,1524169,1599455,1736988,1849122,2026822,1858744
" ","Slagelse",1169697,1220998,1305220,1359581,1388288,1494013,1593506,1748370,1616470
" ","Sorø",1346202,1375840,1458714,1509122,1563738,1676793,1778875,1939257,1819261
" ","Stevns",1276349,1321625,1437727,1541121,1621856,1768084,1874324,2029529,1857956
" ","Vordingborg",1066245,1105933,1176206,1249232,1297987,1407393,1508943,1662559,1543361
" ","Assens",1104807,1115429,1182990,1251255,1260353,1354060,1451667,1545148,1477112
" ","Faaborg-Midtfyn",1212864,1243851,1264648,1321888,1326423,1418223,1587557,1728938,1623507
" ","Kerteminde",1154131,1232796,1291733,1375057,1339638,1473991,1580153,1730104,1684959
" ","Langeland",851642,898392,943373,990446,1064302,1154991,1261098,1328570,1285782
" ","Middelfart",1315419,1391464,1460972,1502852,1540328,1633850,1719003,1891917,1765997
" ","Nordfyns",1078283,1162617,1219172,1281837,1291073,1408319,1498990,1661584,1580645
" ","Nyborg",1126496,1197563,1248550,1269324,1289819,1402278,1491536,1611326,1544840
" ","Odense",1313133,1385148,1458775,1528506,1564251,1697181,1794094,1930564,1786319
" ","Svendborg",1316332,1350361,1402835,1474899,1513669,1642668,1779569,1956100,1842595
" ","Ærø",1109658,1179798,1152444,1239345,1238510,1349199,1448158,1631759,1503175
" ","Billund",1348718,1426768,1505851,1544804,1585671,1714933,1774796,1935676,1915557
" ","Esbjerg",1300037,1358185,1415341,1504260,1513247,1652273,1771174,1907735,1793097
" ","Fanø",1672956,1690969,1785131,1655102,1864138,2019762,2153673,2316874,2209373
" ","Fredericia",1145876,1230831,1292561,1340228,1362715,1483632,1586853,1778050,1677588
" ","Haderslev",1131910,1175597,1236005,1316058,1316191,1444244,1552535,1664143,1549074
" ","Kolding",1244467,1299404,1363870,1458702,1487681,1594970,1734866,1886683,1763670
" ","Sønderborg",1128383,1171934,1201684,1283107,1296995,1391932,1488334,1631915,1528718
" ","Tønder",1082442,1108784,1147816,1222815,1265663,1377766,1452870,1538455,1446956
" ","Varde",1383771,1409162,1490065,1539172,1564584,1683987,1781308,1941449,1844041
" ","Vejen",1184536,1258748,1286417,1336652,1362028,1464540,1574594,1697052,1563620
" ","Vejle",1391289,1453324,1523851,1602136,1623502,1738062,1867822,2029599,1916204
" ","Aabenraa",1092360,1152759,1220622,1289552,1314801,1392566,1480862,1629968,1506707
" ","Favrskov",1591348,1623798,1727518,1777791,1801196,1966168,2090461,2312280,2169998
" ","Hedensted",1367538,1405462,1462141,1530345,1516844,1637011,1739033,1943706,1833796
" ","Horsens",1304022,1369916,1471471,1521362,1536407,1627360,1735435,1873742,1749746
" ","Norddjurs",1111279,1162342,1198178,1242902,1243711,1350094,1416953,1556918,1509324
" ","Odder",1571492,1594756,1622052,1735616,1779817,1894771,2058487,2268891,2170123
" ","Randers",1127069,1161720,1232135,1287167,1321184,1432256,1538625,1660000,1555156
" ","Samsø",1118718,1156866,1293218,1355283,1437414,1596550,1679503,1787958,1741947
" ","Silkeborg",1454452,1533582,1621449,1712329,1725221,1860358,2003385,2172202,2091689
" ","Skanderborg",1766610,1839109,1903700,1942005,1984839,2122687,2246731,2461953,2344786
" ","Syddjurs",1361929,1396373,1474377,1566935,1606734,1712718,1859221,2060976,2022860
" ","Aarhus",1828110,1900997,2004784,2103825,2133898,2263634,2401152,2574462,2425122
" ","Herning",1407689,1450336,1515603,1592249,1616204,1746532,1856853,1999592,1880871
" ","Holstebro",1425284,1456416,1500676,1598200,1629692,1728377,1864680,2046066,1916016
" ","Ikast-Brande",1273829,1307436,1371161,1474215,1495130,1610814,1725394,1820619,1685186
" ","Lemvig",1246732,1316052,1347257,1388071,1395099,1542074,1657234,1832246,1707722
" ","Ringkøbing-Skjern",1335922,1386813,1431638,1496497,1495349,1651500,1782501,1947496,1827540
" ","Skive",1244523,1259755,1327622,1340783,1368715,1471498,1588208,1735813,1648811
" ","Struer",1173383,1180224,1223453,1286162,1319984,1392670,1493871,1661812,1558101
" ","Viborg",1470709,1521833,1574673,1634287,1639840,1740048,1860878,2010209,1863510
" ","Brønderslev",1226476,1243167,1300984,1342544,1346923,1449303,1542422,1653804,1543610
" ","Frederikshavn",1107590,1151806,1234894,1278213,1308709,1409697,1525872,1656223,1565375
" ","Hjørring",1253853,1259899,1332966,1377137,1383907,1463394,1541169,1693403,1623938
" ","Jammerbugt",1200185,1221860,1260131,1324189,1341096,1436039,1530536,1693882,1579755
" ","Læsø",1119053,1131972,1157883,1128044,1176516,1326279,1338721,1413539,1384611
" ","Mariagerfjord",1231273,1240088,1298670,1367620,1375641,1505837,1583595,1708211,1633913
" ","Morsø",1063976,1136823,1192575,1262377,1246134,1350014,1431465,1490970,1426849
" ","Rebild",1468778,1483907,1600048,1600203,1625435,1706868,1816178,2006042,1889379
" ","Thisted",1168193,1236295,1278362,1349364,1335493,1432451,1553493,1734771,1637823
" ","Vesthimmerlands",1170157,1186126,1260073,1305840,1308845,1399939,1515248,1634975,1590999
" ","Aalborg",1401718,1464601,1535633,1623262,1628958,1737827,1836199,1978026,1900539
"70-70 years"
" ","All Denmark",958318,1030006,1108068,1195295,1245844,1336925,1419536,1555351,1520929
" ","Capital municipalities",1268948,1401377,1525243,1661728,1742957,1884623,2006957,2176829,2099157
" ","Metropolitan municipalities",1029966,1114441,1200508,1280801,1341589,1443506,1532007,1674640,1663841
" ","Provincial municipalities",934310,1004832,1077776,1159314,1203083,1292213,1367476,1503104,1471643
" ","Commuter municipalities",970355,1033620,1110128,1193574,1254780,1344450,1418538,1559274,1520070
" ","Rural municipalities",781377,824248,875627,944719,980826,1053916,1121655,1235503,1214014
" ","Copenhagen",895512,1002183,1107732,1216135,1310892,1436665,1560863,1704824,1669989
" ","Frederiksberg",1691804,1835126,1968775,2126855,2205468,2387860,2515372,2643609,2527301
" ","Dragør",2253605,2252548,2445509,2591058,2658923,2896374,2988741,3332001,3149362
" ","Tårnby",1137054,1287337,1379362,1521054,1606991,1699158,1793243,1904022,1853980
" ","Albertslund",790919,841979,924230,1013089,1043764,1108723,1186560,1321015,1305868
" ","Ballerup",818378,882107,931998,1008953,1050866,1153885,1289877,1386579,1314174
" ","Brøndby",535960,579023,628579,674895,744002,845946,857258,920449,877812
" ","Gentofte",2955918,3201726,3356634,3551127,3641206,3883072,4177306,4439163,4274641
" ","Gladsaxe",908488,1048330,1184006,1312866,1427296,1561335,1652047,1820370,1768599
" ","Glostrup",757333,857880,940040,1123569,1195259,1371480,1469915,1563508,1477283
" ","Herlev",795760,820380,884990,1003611,1091846,1177919,1342430,1510206,1530402
" ","Hvidovre",916362,987261,1098168,1180850,1279497,1382206,1460563,1563947,1513342
" ","Høje-Taastrup",1229011,1329786,1449167,1542578,1598395,1684710,1749983,1900317,1790667
" ","Ishøj",808274,962302,1092996,1199202,1210932,1272140,1310248,1454059,1359811
" ","Lyngby-Taarbæk",1705215,1969276,2193434,2425763,2465872,2736543,2900273,3136628,3026066
" ","Rødovre",731820,833723,946247,1108005,1188844,1288010,1383016,1498329,1436544
" ","Vallensbæk",1809594,1929006,2088120,2202705,2241213,2369524,2547296,2678942,2509688
" ","Allerød",2013753,2142141,2234638,2414739,2532024,2611636,2729727,3161986,3049225
" ","Egedal",1693095,1819505,1955776,2080376,2133239,2237012,2349606,2641756,2483751
" ","Fredensborg",1537128,1637178,1764774,1944265,2077100,2274451,2380212,2618126,2502162
" ","Frederikssund",1031123,1126230,1242674,1345515,1401273,1493870,1592542,1709197,1667384
" ","Furesø",2057402,2193064,2271540,2457092,2598855,2798939,2919675,3280334,3083639
" ","Gribskov",1270404,1395232,1473413,1597741,1672010,1830868,1961251,2193298,2073628
" ","Halsnæs",832321,906204,1031945,1139483,1240730,1338246,1404225,1563838,1543376
" ","Helsingør",1159235,1272203,1398158,1492608,1552851,1689752,1833887,2003306,1880226
" ","Hillerød",1560439,1694902,1775642,1906227,1956443,2097472,2151470,2388986,2313393
" ","Hørsholm",2153324,2336139,2445571,2671111,2756740,2953208,3158776,3544061,3360285
" ","Rudersdal",2754491,3017354,3152856,3386555,3437911,3677591,3969424,4423878,4060911
" ","Bornholm",714531,731384,809536,899427,936891,1011485,1087810,1204597,1127471
" ","Greve",1458386,1597040,1712439,1833664,1849544,1966089,2032319,2163394,2079189
" ","Køge",908048,987559,1108907,1234676,1311373,1401033,1467221,1603812,1579579
" ","Lejre",1219073,1375035,1523057,1629967,1698156,1818516,1906143,2050728,2025457
" ","Roskilde",1394415,1525352,1640905,1778801,1830567,1996360,2132987,2365573,2319555
" ","Solrød",1557557,1704121,1825104,1936876,2070128,2260435,2402451,2600847,2450611
" ","Faxe",820458,891860,958279,1060545,1152580,1212599,1285834,1438164,1332861
" ","Guldborgsund",705556,739246,795414,855885,873427,968167,1026834,1149348,1109255
" ","Holbæk",958535,984466,1061130,1146028,1192048,1288647,1362897,1499619,1467574
" ","Kalundborg",792972,855538,899430,993477,1026433,1097487,1136776,1295660,1273763
" ","Lolland",544574,582248,636560,666629,716931,758941,811271,901082,876990
" ","Næstved",828049,898323,951592,1055875,1090181,1163142,1230419,1356149,1323229
" ","Odsherred",823651,893982,947915,1056426,1101386,1174907,1244882,1420001,1380901
" ","Ringsted",864030,905651,1006475,1104179,1154049,1247571,1327658,1519123,1428377
" ","Slagelse",824548,890557,952753,1017600,1049911,1089577,1153530,1268741,1225448
" ","Sorø",961959,1017500,1053676,1074283,1181709,1263926,1341276,1526071,1482440
" ","Stevns",939466,1003795,1082267,1228559,1280555,1409763,1467514,1624146,1569424
" ","Vordingborg",774612,818927,884900,959415,1006504,1058948,1137347,1301770,1234006
" ","Assens",708692,731647,809475,885467,925732,984690,1017790,1092139,1085724
" ","Faaborg-Midtfyn",827244,890781,949103,1010048,1045774,1129655,1198310,1279185,1258125
" ","Kerteminde",827660,887141,941124,997600,1049054,1085418,1147653,1222103,1260559
" ","Langeland",624940,691523,716149,755664,823851,862396,921425,985594,972719
" ","Middelfart",895008,969589,1061602,1097805,1170232,1267104,1336232,1447066,1439557
" ","Nordfyns",737276,797632,829516,862004,927892,973448,1031711,1137584,1150116
" ","Nyborg",821595,886223,925840,975810,1025162,1099977,1123934,1199786,1173892
" ","Odense",893811,992543,1054937,1122101,1173194,1245466,1321881,1458547,1431817
" ","Svendborg",884870,942931,998028,1101912,1172510,1265436,1341377,1452653,1438797
" ","Ærø",819959,848586,832733,925163,985029,1030347,1161801,1199762,1160446
" ","Billund",881766,947893,1058593,1117354,1169623,1253089,1317642,1386246,1401836
" ","Esbjerg",811734,875165,936581,1018297,1063901,1144683,1219715,1342592,1342971
" ","Fanø",1397650,1384379,1376629,1365010,1589969,1654075,1647976,2048322,2103495
" ","Fredericia",744480,787909,849382,905005,951266,1024934,1069456,1165287,1157567
" ","Haderslev",725506,773151,800984,863642,891463,988357,1039551,1142597,1133359
" ","Kolding",822312,888915,934149,997172,1035881,1090744,1174146,1294873,1313411
" ","Sønderborg",682783,736968,784475,830982,869364,931278,997246,1102759,1092586
" ","Tønder",753732,794019,803580,835955,898779,961604,1025481,1096893,1091222
" ","Varde",1016796,1062424,1128749,1187276,1215833,1282899,1362966,1484007,1432883
