"Relative poverty (share of the population) by age, municipality groups"
"and time"

" "," ","2015","2016","2017","2018","2019","2020","2021","2022"
"Age, total"
" ","Høje-Taastrup",6.3,7.4,8.5,8.4,8.3,8.5,7.2,7.3
" ","Ishøj",7.7,8.3,8.5,9.5,8.3,7.5,7.4,6.8
" ","Lyngby-Taarbæk",3.9,4.5,4.9,5.0,5.3,4.9,5.2,4.4
" ","Rødovre",5.2,5.4,6.3,6.6,6.5,6.5,6.6,6.7
" ","Vallensbæk",5.1,5.4,5.8,5.5,5.9,5.5,5.3,5.0
" ","Allerød",3.0,3.8,3.7,3.4,3.1,3.5,3.2,2.6
" ","Egedal",2.9,3.5,4.8,4.5,4.6,4.2,3.4,3.3
" ","Fredensborg",5.6,6.5,7.4,6.7,6.9,6.1,5.6,5.4
" ","Frederikssund",4.1,4.9,5.9,5.8,6.2,5.8,5.8,5.3
" ","Furesø",4.7,5.3,6.3,6.5,6.3,6.1,5.3,4.2
" ","Gribskov",5.8,6.0,7.4,7.1,6.7,6.3,6.2,6.7
" ","Halsnæs",4.8,5.5,6.7,7.5,6.8,7.3,6.2,5.9
" ","Helsingør",6.3,6.9,8.1,8.2,7.4,7.1,6.5,6.3
" ","Hillerød",4.1,5.6,6.2,6.4,5.9,5.6,4.9,4.9
" ","Hørsholm",3.8,4.3,5.5,5.8,5.3,5.1,5.8,5.3
" ","Rudersdal",3.3,4.1,4.2,5.4,5.2,5.2,4.1,3.9
" ","Bornholm",5.2,6.2,6.6,6.4,6.2,6.9,6.3,6.2
" ","Greve",5.5,5.8,7.0,7.0,7.4,7.1,6.3,5.9
" ","Køge",4.4,5.2,6.4,6.2,6.7,6.4,6.6,5.5
" ","Lejre",3.8,4.8,5.6,5.3,4.6,4.4,4.3,3.9
" ","Roskilde",4.7,4.8,5.7,5.9,5.7,5.9,5.4,4.6
" ","Solrød",2.6,4.7,4.4,4.9,4.0,3.5,3.2,2.8
" ","Faxe",6.0,7.4,9.1,8.1,8.1,6.8,6.4,6.6
" ","Guldborgsund",7.0,8.5,10.0,9.9,10.2,9.7,9.6,9.1
" ","Holbæk",5.2,6.3,7.2,7.2,7.4,6.8,6.7,5.8
" ","Kalundborg",5.4,7.1,8.1,7.5,7.5,7.6,7.9,6.7
" ","Lolland",7.8,8.9,11.5,10.7,10.7,10.8,10.5,10.1
" ","Næstved",5.1,5.8,7.1,7.2,7.4,6.8,6.4,6.3
" ","Odsherred",6.3,7.7,9.7,10.9,9.8,9.9,8.4,7.5
" ","Ringsted",4.3,5.5,6.6,6.7,7.0,7.0,6.2,5.2
" ","Slagelse",6.4,7.3,7.8,8.2,8.7,8.4,7.9,6.9
" ","Sorø",3.9,5.1,6.8,7.1,7.0,6.2,5.2,5.0
" ","Stevns",4.4,6.2,7.4,6.6,6.7,6.5,6.4,4.7
" ","Vordingborg",5.4,7.4,8.8,8.7,9.2,8.7,9.0,8.6
" ","Assens",4.7,5.5,6.8,7.3,6.8,6.5,6.2,5.5
" ","Faaborg-Midtfyn",3.8,5.4,6.1,6.7,6.3,6.1,6.1,5.5
" ","Kerteminde",4.2,5.8,6.6,6.2,7.5,6.7,6.0,5.9
" ","Langeland",8.0,10.3,12.1,11.6,12.2,11.4,10.4,8.5
" ","Middelfart",3.8,5.0,5.7,5.0,5.2,5.3,5.6,4.4
" ","Nordfyns",3.2,4.8,5.8,6.2,6.9,6.7,6.2,6.2
" ","Nyborg",4.1,6.0,6.9,6.8,6.1,5.9,5.9,6.0
" ","Odense",6.4,7.1,8.1,8.1,8.4,8.3,8.2,7.4
" ","Svendborg",5.4,6.6,8.4,7.9,8.0,8.4,8.0,7.7
" ","Ærø",7.4,9.4,8.2,10.3,10.7,9.1,8.4,8.3
" ","Billund",4.2,4.7,4.8,4.8,4.6,5.5,5.0,4.0
" ","Esbjerg",4.9,5.8,6.6,6.1,6.0,6.1,6.0,5.0
" ","Fanø",5.2,10.7,10.1,11.1,7.1,6.0,4.8,3.3
" ","Fredericia",5.7,7.0,7.8,7.5,8.0,7.5,8.2,7.2
" ","Haderslev",6.1,7.0,8.0,7.6,7.9,8.0,7.4,7.0
" ","Kolding",4.9,5.4,6.0,6.2,6.3,6.4,5.6,5.8
" ","Sønderborg",5.4,6.4,6.5,6.2,6.7,6.3,6.2,5.5
" ","Tønder",6.2,7.5,7.9,7.6,7.4,7.6,7.8,6.7
" ","Varde",4.3,5.5,5.7,5.9,5.2,4.6,4.6,3.9
" ","Vejen",4.5,5.6,5.5,5.2,5.6,5.0,4.7,4.5
" ","Vejle",4.0,5.2,5.3,5.7,5.8,5.1,5.2,4.5
" ","Aabenraa",5.7,7.5,7.4,7.8,7.4,7.0,6.0,6.0
" ","Favrskov",2.9,3.3,4.6,4.3,4.1,3.4,3.6,3.2
" ","Hedensted",2.7,4.1,4.5,4.3,4.5,4.2,4.2,3.6
" ","Horsens",4.0,5.0,5.7,5.5,5.2,5.1,4.9,4.5
" ","Norddjurs",5.9,7.0,8.1,8.2,7.8,7.1,7.0,6.6
" ","Odder",4.1,5.5,6.3,5.7,5.1,4.0,4.3,3.8
" ","Randers",5.2,6.3,7.1,7.3,7.9,7.7,7.7,7.3
" ","Samsø",6.8,7.1,7.4,11.3,7.8,10.8,10.9,10.2
" ","Silkeborg",3.6,4.3,5.3,5.3,5.6,5.0,4.6,3.6
" ","Skanderborg",2.3,3.2,3.6,3.7,3.7,3.3,2.8,2.6
" ","Syddjurs",4.1,5.7,6.2,6.3,5.8,5.8,5.7,5.0
" ","Aarhus",4.6,5.1,6.0,6.2,6.6,6.5,6.4,6.0
" ","Herning",4.0,4.8,5.2,5.7,5.5,5.6,5.2,4.8
" ","Holstebro",4.3,5.5,6.3,6.3,5.9,5.6,5.0,5.0
" ","Ikast-Brande",4.1,4.7,5.4,5.5,5.6,5.0,5.5,4.9
" ","Lemvig",5.3,6.6,6.8,6.7,6.5,5.8,6.2,5.6
" ","Ringkøbing-Skjern",4.9,5.5,5.6,6.0,5.5,5.0,4.4,3.9
" ","Skive",5.1,5.1,6.2,6.2,6.2,5.7,5.2,5.0
" ","Struer",6.3,7.5,7.8,7.4,6.9,6.9,6.8,6.1
" ","Viborg",4.0,5.2,5.4,5.7,6.2,6.1,6.0,5.4
" ","Brønderslev",4.8,6.1,6.7,6.2,6.6,5.6,5.8,4.8
" ","Frederikshavn",5.1,6.3,7.4,7.2,7.1,6.8,6.0,5.8
" ","Hjørring",5.6,7.0,7.2,7.1,6.7,6.7,6.4,5.6
" ","Jammerbugt",4.4,5.7,7.0,7.1,6.9,5.9,5.8,4.9
" ","Læsø",11.9,11.8,10.6,5.3,7.7,7.9,7.8,5.4
" ","Mariagerfjord",4.7,5.7,6.9,7.0,7.5,7.3,6.5,6.1
" ","Morsø",5.8,7.5,8.1,7.2,6.2,6.1,6.8,5.2
" ","Rebild",3.0,3.5,3.8,3.9,4.6,4.0,3.0,2.6
" ","Thisted",5.1,6.6,7.0,6.9,6.8,6.4,5.9,5.2
" ","Vesthimmerlands",5.8,6.8,6.8,6.8,6.1,6.0,6.4,5.7
" ","Aalborg",4.8,5.4,6.4,6.5,6.8,6.6,6.9,6.4
"40-49 years"
" ","All Denmark",3.1,3.5,4.0,4.0,4.0,3.9,3.9,3.6
" ","Capital municipalities",3.7,3.9,4.4,4.4,4.6,4.4,4.2,4.0
" ","Metropolitan municipalities",3.4,3.7,4.5,4.6,4.7,4.6,4.7,4.3
" ","Provincial municipalities",2.9,3.1,3.5,3.6,3.6,3.6,3.6,3.3
" ","Commuter municipalities",2.3,2.6,3.1,3.1,3.1,3.0,2.9,2.7
" ","Rural municipalities",3.4,3.9,4.3,4.2,4.2,4.2,4.0,3.7
" ","Copenhagen",5.2,5.5,6.2,6.0,6.1,5.6,5.3,5.0
" ","Frederiksberg",3.2,3.6,3.6,3.8,3.6,3.4,3.2,2.8
" ","Dragør",1.8,2.4,2.6,2.5,2.8,2.6,2.8,1.8
" ","Tårnby",2.7,3.0,3.5,3.4,3.8,3.4,3.0,3.0
" ","Albertslund",3.7,4.4,4.6,5.2,6.0,5.3,5.2,5.4
" ","Ballerup",3.2,3.2,3.2,3.6,4.0,3.8,3.5,3.4
" ","Brøndby",5.1,5.5,7.0,6.8,7.0,7.3,7.5,6.4
" ","Gentofte",2.1,2.2,2.7,2.7,2.6,2.6,2.6,2.4
" ","Gladsaxe",3.6,3.7,4.2,4.3,4.3,4.3,3.9,3.9
" ","Glostrup",3.1,3.2,4.2,4.6,5.1,4.8,4.4,4.3
" ","Herlev",3.1,2.9,3.2,3.4,3.4,3.3,3.7,3.1
" ","Hvidovre",3.0,3.4,3.5,3.3,3.7,3.5,3.7,3.8
" ","Høje-Taastrup",4.0,4.4,5.1,5.4,5.2,5.5,6.0,5.5
" ","Ishøj",4.8,5.4,6.9,6.8,6.8,6.3,5.7,6.0
" ","Lyngby-Taarbæk",2.2,2.3,2.5,2.4,2.8,2.7,3.0,2.7
" ","Rødovre",3.5,3.3,4.3,4.3,4.5,4.7,5.0,5.0
" ","Vallensbæk",2.4,2.4,2.9,3.2,3.4,3.2,3.1,3.5
" ","Allerød",1.3,1.2,2.0,1.8,1.5,1.4,1.4,1.6
" ","Egedal",1.1,1.8,1.9,1.8,2.0,1.7,1.8,1.8
" ","Fredensborg",2.6,3.1,3.5,3.4,3.7,3.5,3.3,2.6
" ","Frederikssund",2.1,2.5,2.8,3.0,3.1,3.3,3.3,2.9
" ","Furesø",2.2,2.4,2.5,2.9,2.7,2.6,2.6,2.5
" ","Gribskov",3.1,3.6,4.1,3.6,3.3,3.2,3.4,3.4
" ","Halsnæs",3.0,3.0,3.3,3.4,3.8,3.4,3.2,2.9
" ","Helsingør",3.1,3.2,4.2,4.1,3.9,3.9,4.0,3.4
" ","Hillerød",2.3,2.6,3.1,3.4,2.9,3.1,3.2,3.4
" ","Hørsholm",2.0,2.4,2.3,2.3,2.6,2.3,2.8,2.4
" ","Rudersdal",1.9,2.1,2.3,2.4,2.4,2.5,2.4,2.0
" ","Bornholm",2.9,3.2,3.6,3.3,3.5,3.4,3.4,2.7
" ","Greve",2.7,2.9,3.3,3.2,3.6,3.8,3.5,3.8
" ","Køge",2.1,2.4,3.1,2.9,3.0,3.3,3.6,3.3
" ","Lejre",1.8,2.2,2.3,2.2,2.3,2.5,2.6,2.4
" ","Roskilde",2.0,2.0,2.4,2.5,2.5,2.8,2.7,2.4
" ","Solrød",2.1,2.0,2.3,2.2,2.3,2.3,1.8,2.2
" ","Faxe",3.1,3.3,3.7,4.1,4.1,4.0,3.9,4.0
" ","Guldborgsund",4.5,4.6,5.7,5.7,5.6,5.4,5.7,5.3
" ","Holbæk",2.5,2.9,3.4,3.5,3.4,3.3,3.6,3.5
" ","Kalundborg",3.5,3.8,4.4,4.2,4.2,4.1,3.8,4.1
" ","Lolland",4.6,6.0,6.9,7.2,7.2,7.1,6.3,5.9
" ","Næstved",3.2,3.6,4.1,4.0,3.6,3.7,3.7,3.8
" ","Odsherred",3.8,4.5,5.4,5.0,4.9,5.2,4.9,4.2
" ","Ringsted",2.9,3.2,3.8,3.7,3.8,3.7,3.2,3.1
" ","Slagelse",3.8,4.1,5.0,5.3,5.4,5.8,5.6,5.2
" ","Sorø",2.3,2.7,3.1,3.8,3.3,3.1,2.7,3.2
" ","Stevns",2.9,2.7,3.9,4.2,3.2,3.0,2.9,2.6
" ","Vordingborg",3.5,4.4,5.4,4.9,5.1,4.5,4.1,4.3
" ","Assens",2.4,3.1,3.5,3.7,4.0,3.7,3.6,3.5
" ","Faaborg-Midtfyn",2.3,2.7,3.3,3.2,3.3,3.4,3.4,3.3
" ","Kerteminde",2.1,2.4,3.7,3.6,3.9,3.4,3.2,2.9
" ","Langeland",4.4,5.6,7.1,5.5,5.3,5.3,6.3,5.8
" ","Middelfart",1.9,2.3,2.7,2.4,2.5,2.4,2.5,2.8
" ","Nordfyns",2.9,2.9,3.4,3.4,3.9,3.6,3.7,3.1
" ","Nyborg",2.7,3.4,3.8,3.7,3.8,4.1,3.3,2.9
" ","Odense",4.2,4.7,5.8,5.5,5.7,5.6,5.5,5.0
" ","Svendborg",2.9,3.5,4.0,4.2,4.3,4.5,4.1,3.7
" ","Ærø",4.0,3.8,5.5,6.1,6.1,6.0,6.3,5.9
" ","Billund",2.4,3.1,3.2,3.4,2.8,2.9,2.8,2.2
" ","Esbjerg",3.5,3.9,4.4,4.2,4.3,4.2,3.9,3.5
" ","Fanø",3.0,4.8,5.7,4.6,2.3,3.5,3.0,2.2
" ","Fredericia",3.0,3.9,4.4,4.6,4.7,4.8,4.6,4.3
" ","Haderslev",3.6,3.9,4.5,3.9,4.4,4.4,4.5,4.5
" ","Kolding",3.0,3.3,3.5,3.4,3.5,3.5,3.5,3.2
" ","Sønderborg",2.7,3.4,3.6,3.6,4.0,3.7,3.9,3.6
" ","Tønder",4.2,5.0,4.6,4.9,5.2,5.5,5.3,4.4
" ","Varde",2.8,3.4,3.2,3.2,3.7,3.3,3.9,2.9
" ","Vejen",2.9,3.6,3.9,3.6,3.4,3.0,2.7,2.2
" ","Vejle",2.7,2.9,3.3,3.5,3.3,3.3,3.3,2.9
" ","Aabenraa",4.1,4.5,5.1,4.6,4.9,4.7,4.2,3.6
" ","Favrskov",1.5,1.6,2.0,2.0,1.6,1.7,1.8,1.5
" ","Hedensted",1.7,1.8,2.2,2.4,2.2,2.1,2.2,2.0
" ","Horsens",2.9,3.1,3.6,3.4,3.5,3.2,3.0,2.8
" ","Norddjurs",3.3,3.7,4.3,4.2,4.2,4.5,3.8,3.9
" ","Odder",1.9,1.7,2.9,2.3,2.8,2.5,2.5,2.4
" ","Randers",3.6,3.6,4.1,4.2,4.2,4.2,4.4,4.3
" ","Samsø",3.6,5.5,5.3,7.3,6.0,5.6,7.4,5.5
" ","Silkeborg",2.2,2.5,2.4,2.7,3.0,2.9,2.9,2.5
" ","Skanderborg",1.2,1.7,1.8,1.8,1.8,1.6,1.6,1.6
" ","Syddjurs",2.3,2.8,3.1,3.0,3.2,2.8,2.9,2.8
" ","Aarhus",3.2,3.6,4.2,4.4,4.5,4.5,4.5,4.1
" ","Herning",3.1,3.0,3.3,3.4,3.1,3.0,3.1,2.7
" ","Holstebro",2.3,2.7,3.1,3.2,3.4,3.7,3.5,3.0
" ","Ikast-Brande",2.2,2.4,2.8,3.3,3.0,3.3,3.5,3.0
" ","Lemvig",3.0,3.5,3.2,3.7,3.7,3.3,3.1,2.1
" ","Ringkøbing-Skjern",3.0,2.9,2.9,3.3,3.0,3.0,2.9,2.9
" ","Skive",2.6,3.1,3.7,3.5,3.2,3.0,2.6,3.1
" ","Struer",3.5,4.3,4.6,4.3,4.1,4.7,4.7,4.1
" ","Viborg",2.6,3.0,3.0,3.1,3.2,3.0,2.8,2.3
" ","Brønderslev",3.5,3.9,3.7,4.0,3.8,3.5,3.4,3.2
" ","Frederikshavn",2.9,4.1,4.8,4.9,4.3,4.5,4.2,3.7
" ","Hjørring",3.5,3.9,4.0,4.0,3.7,3.7,3.5,3.3
" ","Jammerbugt",2.7,2.8,3.6,3.4,3.2,3.0,3.1,2.6
" ","Læsø",3.6,2.8,2.8,1.9,4.1,3.8,1.2,6.0
" ","Mariagerfjord",3.5,3.2,3.9,3.8,3.7,3.9,3.9,3.5
" ","Morsø",3.5,4.1,4.1,3.8,4.1,3.9,3.9,3.0
" ","Rebild",1.6,2.1,2.3,2.3,2.1,2.1,2.0,1.9
" ","Thisted",3.0,3.3,3.5,3.7,3.6,4.2,3.6,3.6
" ","Vesthimmerlands",3.8,3.8,4.3,4.3,4.0,4.1,3.3,3.0
" ","Aalborg",2.9,2.9,3.6,3.9,4.0,4.0,4.1,3.9
"50-59 years"
" ","All Denmark",2.3,2.5,2.7,2.9,2.9,2.9,2.8,2.6
" ","Capital municipalities",2.9,3.2,3.6,3.8,3.8,3.7,3.6,3.4
" ","Metropolitan municipalities",2.4,2.6,3.0,3.4,3.4,3.5,3.6,3.4
" ","Provincial municipalities",2.1,2.3,2.5,2.6,2.6,2.6,2.5,2.3
" ","Commuter municipalities",1.7,1.9,2.0,2.1,2.1,2.0,2.0,1.8
" ","Rural municipalities",2.2,2.4,2.5,2.7,2.6,2.7,2.5,2.4
" ","Copenhagen",4.7,5.1,5.8,6.1,6.0,5.8,5.5,5.1
" ","Frederiksberg",2.9,2.9,3.2,3.3,3.3,3.2,3.0,2.8
" ","Dragør",1.0,2.2,2.3,2.3,2.4,1.8,1.9,1.1
" ","Tårnby",2.3,2.5,2.5,2.7,2.4,2.3,2.7,2.6
" ","Albertslund",2.9,2.9,4.0,4.1,4.3,4.1,4.3,3.9
" ","Ballerup",1.7,2.4,2.7,2.4,2.9,2.7,2.7,2.3
" ","Brøndby",2.8,3.2,4.2,4.3,4.7,5.1,4.9,5.3
" ","Gentofte",2.0,2.1,2.2,2.2,2.3,2.2,1.9,1.7
" ","Gladsaxe",2.2,2.4,2.6,2.9,3.0,2.9,2.8,2.8
" ","Glostrup",1.9,2.9,3.7,3.9,3.7,3.8,3.6,3.4
" ","Herlev",2.4,2.4,2.6,2.7,3.1,2.6,2.6,2.6
" ","Hvidovre",2.0,2.4,2.6,3.1,2.7,2.8,3.1,2.7
" ","Høje-Taastrup",2.7,2.7,3.5,3.7,4.0,4.4,4.7,4.4
" ","Ishøj",3.2,3.0,4.1,4.8,4.9,4.6,4.7,4.0
" ","Lyngby-Taarbæk",1.7,2.0,2.5,2.4,2.3,2.3,2.1,2.0
" ","Rødovre",2.7,3.0,3.4,3.8,4.1,4.0,4.2,4.2
" ","Vallensbæk",1.3,1.6,1.4,2.1,2.0,1.7,2.0,2.4
" ","Allerød",1.0,1.2,1.1,1.1,0.9,0.9,0.9,1.0
" ","Egedal",1.0,1.4,1.6,1.6,1.3,1.5,1.3,1.3
" ","Fredensborg",2.0,2.4,2.5,2.3,2.4,2.2,2.1,1.9
" ","Frederikssund",1.6,1.9,2.0,1.8,2.2,2.0,2.2,2.1
" ","Furesø",1.6,1.5,1.7,2.2,1.9,1.8,1.9,1.8
" ","Gribskov",2.2,2.3,2.5,2.6,2.6,2.3,2.4,1.9
" ","Halsnæs",2.5,2.2,2.6,2.4,2.1,2.2,2.3,1.8
" ","Helsingør",2.7,3.1,3.2,3.4,3.1,2.8,2.5,2.4
" ","Hillerød",1.6,1.6,2.0,2.3,2.2,2.2,2.0,1.8
" ","Hørsholm",1.6,1.7,2.0,2.1,1.8,1.7,1.8,1.6
" ","Rudersdal",1.5,1.8,1.8,1.7,1.8,1.7,1.8,1.4
" ","Bornholm",2.1,2.2,2.5,2.7,2.1,2.2,1.8,1.9
" ","Greve",2.5,2.4,2.6,2.6,2.8,2.6,2.8,2.6
" ","Køge",2.1,2.0,2.2,2.5,2.2,2.2,2.0,1.9
" ","Lejre",1.3,1.5,1.3,1.3,1.8,1.7,1.5,1.7
" ","Roskilde",1.5,1.7,1.9,2.0,2.0,1.9,2.0,1.7
" ","Solrød",0.8,0.8,1.1,1.2,1.3,1.6,1.8,1.2
" ","Faxe",2.2,2.6,2.9,2.5,2.3,2.4,2.1,1.8
" ","Guldborgsund",2.8,2.9,3.0,3.2,3.4,3.4,3.3,3.4
" ","Holbæk",2.2,2.4,2.6,2.5,2.6,2.5,2.3,1.7
" ","Kalundborg",2.2,2.4,2.8,2.9,2.9,3.0,2.8,2.4
" ","Lolland",2.8,3.1,3.6,4.4,4.3,4.3,4.0,4.1
" ","Næstved",2.3,2.5,2.8,3.0,2.7,2.7,2.6,2.5
" ","Odsherred",2.3,3.1,3.0,3.1,2.8,2.8,3.0,2.9
" ","Ringsted",2.0,2.2,2.4,2.7,3.0,2.9,2.4,2.3
" ","Slagelse",3.0,3.0,3.3,3.5,3.7,3.9,3.8,3.1
" ","Sorø",2.0,2.1,2.4,2.0,2.1,2.2,1.9,1.7
" ","Stevns",2.0,1.9,2.0,1.9,1.9,1.8,1.6,1.8
" ","Vordingborg",2.4,2.5,3.4,3.3,3.7,3.3,3.2,3.1
" ","Assens",1.9,2.1,2.4,2.3,2.7,2.5,2.5,2.2
" ","Faaborg-Midtfyn",1.7,2.0,2.1,2.1,2.2,2.0,1.9,1.7
" ","Kerteminde",1.7,1.7,2.1,2.2,2.5,2.3,2.2,2.0
" ","Langeland",2.8,3.0,2.7,3.2,3.0,3.9,3.3,3.6
" ","Middelfart",1.5,1.8,2.0,1.9,1.8,1.7,1.7,1.3
" ","Nordfyns",1.7,1.9,2.0,2.1,1.9,2.0,2.2,2.2
" ","Nyborg",2.0,2.0,2.3,2.1,2.4,2.7,2.7,2.7
" ","Odense",3.1,3.2,3.8,4.3,4.3,4.3,4.3,4.2
" ","Svendborg",1.9,2.4,2.7,2.7,2.7,2.9,3.1,2.8
" ","Ærø",2.4,3.0,3.3,3.4,3.2,3.0,4.0,3.4
" ","Billund",1.7,1.7,1.2,1.4,1.6,1.7,1.5,1.5
" ","Esbjerg",2.6,2.8,3.1,3.0,3.0,2.8,2.8,2.4
" ","Fanø",2.1,2.5,1.2,2.5,2.3,3.2,2.1,2.3
" ","Fredericia",2.6,2.9,3.1,3.3,3.6,3.5,3.2,3.0
" ","Haderslev",2.4,2.7,3.0,2.8,2.5,2.6,2.9,2.6
" ","Kolding",2.5,2.8,2.9,2.7,2.7,2.8,2.4,2.4
" ","Sønderborg",1.9,2.2,2.4,2.3,2.5,2.4,2.5,2.5
" ","Tønder",2.5,2.8,2.6,2.8,2.9,3.0,2.8,2.7
" ","Varde",2.0,2.1,1.6,1.7,1.7,1.8,1.8,1.8
" ","Vejen",2.0,2.6,2.4,2.3,2.3,2.1,1.9,1.7
" ","Vejle",1.9,2.1,2.3,2.4,2.3,2.4,2.3,2.2
" ","Aabenraa",2.8,3.1,2.8,2.8,3.2,3.2,2.7,2.3
" ","Favrskov",1.1,1.1,1.0,1.2,1.0,1.3,1.4,1.2
" ","Hedensted",1.5,1.4,1.4,1.7,1.6,1.5,1.3,1.3
" ","Horsens",1.9,2.1,2.4,2.5,2.4,2.4,2.5,2.3
" ","Norddjurs",2.9,2.6,3.1,3.1,3.1,2.6,2.5,1.9
" ","Odder",1.2,1.3,1.4,1.8,1.4,1.5,1.7,1.5
" ","Randers",2.5,2.4,2.9,3.2,3.4,3.3,3.2,3.1
" ","Samsø",1.9,3.0,2.8,2.1,3.1,2.3,3.1,3.8
" ","Silkeborg",1.6,1.7,1.8,1.7,1.9,1.7,1.8,1.4
" ","Skanderborg",0.9,1.0,1.1,1.2,1.1,1.2,1.2,1.2
" ","Syddjurs",1.3,2.0,2.2,2.4,2.0,1.8,2.1,1.8
" ","Aarhus",2.0,2.3,2.6,3.1,3.1,3.2,3.3,3.1
" ","Herning",2.1,2.3,2.2,2.6,2.3,2.3,2.2,2.2
" ","Holstebro",1.5,1.7,1.9,1.8,2.2,2.4,2.5,2.2
" ","Ikast-Brande",1.6,1.5,1.7,2.3,2.3,2.6,2.8,2.6
" ","Lemvig",1.8,2.3,1.8,1.4,1.7,1.8,1.3,1.3
" ","Ringkøbing-Skjern",1.7,1.7,1.6,1.9,1.8,1.9,1.6,1.4
" ","Skive",1.9,1.7,1.9,2.0,2.0,2.2,1.9,1.8
" ","Struer",1.8,2.4,2.7,2.8,2.3,2.6,1.8,1.9
" ","Viborg",1.8,2.0,1.7,1.9,1.8,2.0,1.8,1.8
" ","Brønderslev",2.1,2.1,2.4,2.6,2.5,2.6,1.9,1.8
" ","Frederikshavn",2.1,2.1,2.3,2.6,2.5,2.9,2.7,2.5
" ","Hjørring",2.4,2.4,2.6,3.0,2.6,2.6,2.3,2.1
" ","Jammerbugt",1.7,1.9,2.3,2.2,2.2,2.2,1.9,1.8
" ","Læsø",2.4,2.1,3.6,3.7,2.2,3.6,4.9,3.1
" ","Mariagerfjord",2.2,2.4,2.6,2.9,2.8,2.9,2.6,2.5
" ","Morsø",2.0,2.3,2.2,2.2,2.2,2.2,2.2,2.0
" ","Rebild",1.3,1.4,1.6,1.6,1.6,1.3,1.2,1.1
" ","Thisted",1.8,1.9,2.2,2.1,2.3,2.3,2.4,2.0
" ","Vesthimmerlands",2.5,2.4,2.2,2.3,2.7,2.2,2.0,1.8
" ","Aalborg",2.3,2.3,2.6,2.9,3.1,3.3,3.4,3.2
"60-69 years"
" ","All Denmark",1.1,1.2,1.4,1.5,1.5,1.6,1.7,1.6
" ","Capital municipalities",1.6,1.7,2.0,2.1,2.2,2.3,2.5,2.5
" ","Metropolitan municipalities",1.1,1.2,1.4,1.5,1.6,1.7,1.9,1.9
" ","Provincial municipalities",0.9,1.0,1.2,1.3,1.3,1.4,1.5,1.5
" ","Commuter municipalities",0.8,0.9,1.0,1.1,1.2,1.2,1.2,1.2
" ","Rural municipalities",1.1,1.1,1.2,1.3,1.3,1.4,1.3,1.3
" ","Copenhagen",2.7,2.8,3.3,3.6,3.7,3.7,3.8,3.7
" ","Frederiksberg",1.5,1.5,1.7,1.8,2.0,2.3,2.2,2.2
" ","Dragør",0.6,0.7,0.7,0.9,0.9,0.7,1.1,1.1
" ","Tårnby",1.0,1.3,1.4,1.4,1.9,1.8,1.8,1.6
" ","Albertslund",2.1,2.0,2.5,2.8,3.1,2.8,3.1,3.0
" ","Ballerup",0.9,1.2,1.3,1.6,1.8,1.6,1.7,1.5
" ","Brøndby",2.2,2.5,2.4,2.3,2.7,2.9,3.8,3.9
" ","Gentofte",1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.4
" ","Gladsaxe",1.2,1.6,1.6,1.6,1.5,1.6,2.0,2.3
" ","Glostrup",1.4,1.6,1.2,1.8,1.7,2.6,2.2,2.4
" ","Herlev",1.2,1.4,1.5,1.4,1.3,1.4,1.4,1.7
" ","Hvidovre",1.0,1.2,1.1,1.4,1.7,1.6,2.2,2.0
" ","Høje-Taastrup",1.6,1.8,2.2,2.1,2.6,2.6,2.8,2.6
" ","Ishøj",1.9,2.0,2.5,2.1,2.4,3.1,3.1,3.4
" ","Lyngby-Taarbæk",1.0,1.0,1.3,1.3,1.4,1.4,1.6,1.7
" ","Rødovre",1.1,1.2,1.5,1.9,2.0,2.7,2.7,3.0
" ","Vallensbæk",1.2,1.0,1.2,1.5,1.7,1.3,1.4,1.4
" ","Allerød",0.4,0.4,0.6,0.6,0.5,0.5,0.6,0.7
" ","Egedal",0.4,0.5,0.8,1.0,1.0,0.9,1.1,0.9
" ","Fredensborg",1.0,0.9,1.0,0.9,1.3,1.7,1.9,1.7
" ","Frederikssund",1.0,1.0,1.2,1.1,1.4,1.4,1.4,1.4
" ","Furesø",0.6,0.8,0.9,0.9,0.9,1.4,1.7,1.4
" ","Gribskov",1.0,1.3,1.1,1.3,1.3,1.3,1.4,1.3
" ","Halsnæs",1.3,1.3,1.3,1.8,1.7,1.5,1.4,1.2
" ","Helsingør",1.3,1.3,1.8,1.8,1.8,1.8,1.8,1.6
" ","Hillerød",0.7,0.7,1.0,1.0,1.0,1.3,1.4,1.4
" ","Hørsholm",0.7,0.6,0.5,0.7,0.7,0.9,0.9,1.2
" ","Rudersdal",0.6,0.7,0.8,0.9,1.0,1.1,1.0,1.0
" ","Bornholm",1.0,1.1,0.9,1.0,1.1,1.1,0.9,0.9
" ","Greve",1.3,1.3,1.3,1.6,1.4,1.9,2.2,2.4
" ","Køge",1.0,1.1,1.2,1.3,1.1,1.2,1.4,1.5
" ","Lejre",0.6,0.7,0.8,0.7,0.5,0.8,0.6,1.0
" ","Roskilde",0.8,0.8,1.0,1.1,1.2,1.0,1.2,1.2
" ","Solrød",0.4,0.5,0.7,0.8,0.7,1.1,0.9,0.9
" ","Faxe",1.0,0.9,1.3,1.3,1.3,1.3,1.4,1.4
" ","Guldborgsund",1.4,1.7,1.7,1.8,1.9,1.9,1.9,2.0
