,crim_2007,crim_2008,crim_2009,crim_2010,crim_2011,crim_2012,crim_2013,crim_2014,crim_2015,crim_2016,crim_2017,crim_2018,crim_2019,crim_2020,crim_2021,crim_2022
58,10501.0,11294.0,11013.0,11175.0,11447.0,10063.0,9568.0,9347.0,8718.0,8563.0,8362.0,9030.0,8967.0,8821.0,7568.0,7932.0
59,247.0,165.0,162.0,170.0,147.0,180.0,161.0,182.0,139.0,133.0,165.0,229.0,147.0,139.0,141.0,171.0
60,5400.0,5953.0,5799.0,6091.0,5655.0,5220.0,5820.0,5288.0,5014.0,5136.0,5332.0,4617.0,4231.0,4164.0,3752.0,4048.0
61,5034.0,5511.0,5252.0,4520.0,4369.0,4189.0,4100.0,4381.0,3855.0,4390.0,3701.0,3372.0,3016.0,2600.0,2713.0,3015.0
62,9176.0,9681.0,9753.0,8492.0,8576.0,7690.0,7720.0,7454.0,7611.0,6820.0,7709.0,7604.0,6462.0,5471.0,5457.0,5864.0
63,5456.0,6045.0,6479.0,6027.0,5879.0,4985.0,5057.0,4851.0,3990.0,4464.0,4438.0,4384.0,4006.0,3213.0,3057.0,3730.0
64,3134.0,3172.0,3142.0,2976.0,3306.0,2747.0,2773.0,2578.0,2285.0,2087.0,2080.0,2581.0,2998.0,2121.0,1973.0,2199.0
65,3285.0,3511.0,3659.0,3731.0,3673.0,3218.0,3002.0,2853.0,2626.0,2585.0,2734.0,2824.0,2503.0,2208.0,1998.0,2243.0
66,3353.0,3224.0,3273.0,3541.0,3090.0,2906.0,3241.0,2391.0,2184.0,2149.0,2038.0,2042.0,2160.0,1927.0,1720.0,2364.0
67,8480.0,9588.0,10487.0,9823.0,10326.0,8781.0,8487.0,7957.0,7531.0,7136.0,7523.0,7728.0,7422.0,6148.0,6063.0,6556.0
68,6515.0,7240.0,7197.0,6321.0,6363.0,5505.0,5264.0,5379.0,5602.0,5362.0,5482.0,5178.0,5193.0,5288.0,4469.0,4472.0
69,2540.0,2539.0,2352.0,2645.0,2633.0,2402.0,2360.0,1995.0,2015.0,1936.0,2056.0,1974.0,1851.0,1742.0,1496.0,1555.0
70,2415.0,2542.0,2844.0,2608.0,2838.0,2459.0,2243.0,1951.0,1955.0,2024.0,2171.0,2147.0,1993.0,1656.0,1552.0,1786.0
71,7149.0,7696.0,7967.0,7491.0,7924.0,7051.0,6784.0,5814.0,5572.0,5333.0,6212.0,6198.0,5961.0,4866.0,5001.0,5290.0
72,3351.0,3383.0,3327.0,2887.0,2775.0,2492.0,2441.0,2237.0,2236.0,2490.0,1887.0,2167.0,2145.0,1934.0,1591.0,1801.0
73,1106.0,1172.0,1353.0,1277.0,1214.0,1254.0,1057.0,980.0,849.0,913.0,992.0,922.0,780.0,689.0,637.0,813.0
74,8331.0,8905.0,9636.0,8969.0,8930.0,7858.0,8003.0,7075.0,7153.0,7682.0,6843.0,6214.0,7420.0,6924.0,6151.0,6352.0
75,209.0,178.0,132.0,184.0,167.0,156.0,151.0,147.0,183.0,174.0,143.0,169.0,153.0,150.0,105.0,162.0
76,6034.0,6500.0,6426.0,6420.0,6137.0,6088.0,5589.0,5230.0,4612.0,4364.0,5182.0,5067.0,4551.0,4214.0,3904.0,4046.0
77,3541.0,3514.0,3910.0,3651.0,4030.0,4049.0,3840.0,3400.0,3001.0,2994.0,3288.0,2861.0,2496.0,2006.0,2204.0,2201.0
78,2594.0,2900.0,3197.0,2974.0,2848.0,2596.0,2746.0,2292.0,2228.0,2242.0,2339.0,2142.0,1894.0,1865.0,1557.0,1646.0
79,36614.0,36277.0,36271.0,36641.0,39655.0,38425.0,38016.0,35165.0,31678.0,32723.0,31463.0,30428.0,29176.0,26976.0,25561.0,30303.0
80,5490.0,6190.0,6721.0,6127.0,5861.0,5912.0,5672.0,5117.0,5353.0,5732.0,5858.0,6004.0,5591.0,4604.0,4471.0,5506.0
81,4244.0,4484.0,4248.0,3929.0,3931.0,3989.0,3758.0,3496.0,3204.0,3030.0,4040.0,3791.0,3767.0,3036.0,3216.0,2943.0
82,2528.0,2777.0,2677.0,3073.0,2968.0,2667.0,2274.0,2084.0,1804.0,2216.0,4767.0,7145.0,9739.0,4050.0,2837.0,3625.0
83,970.0,872.0,810.0,867.0,853.0,855.0,719.0,641.0,645.0,575.0,601.0,682.0,712.0,753.0,752.0,644.0
84,3410.0,3547.0,3496.0,3534.0,3205.0,3162.0,2877.0,2675.0,2430.0,2336.0,2642.0,2363.0,1962.0,1891.0,1859.0,2073.0
85,3227.0,3401.0,3524.0,3120.0,3317.0,2725.0,2824.0,2468.0,2494.0,2121.0,2258.0,2262.0,2478.0,2010.0,1863.0,2157.0
86,1104.0,1459.0,1348.0,1097.0,1126.0,1089.0,1042.0,1008.0,1018.0,974.0,974.0,845.0,1046.0,957.0,812.0,930.0
87,6097.0,6061.0,6406.0,6275.0,5800.0,5112.0,5338.0,5305.0,4904.0,4926.0,4887.0,6500.0,4801.0,4344.0,4774.0,4827.0
88,2404.0,2144.0,2017.0,2159.0,2412.0,1961.0,2070.0,1835.0,1565.0,1626.0,1718.0,1733.0,1560.0,1342.0,1387.0,1468.0
89,4862.0,5108.0,5907.0,4934.0,5337.0,4155.0,4064.0,3388.0,3626.0,3939.0,4049.0,4594.0,3480.0,2825.0,2571.0,2859.0
90,5101.0,4833.0,4906.0,4583.0,4870.0,4180.0,4204.0,3565.0,3861.0,4023.0,4210.0,3463.0,3156.0,2525.0,2463.0,3033.0
91,2287.0,2546.0,2812.0,2508.0,2673.0,2516.0,2342.0,1840.0,1951.0,1897.0,1704.0,1902.0,1685.0,1550.0,1403.0,1393.0
92,35.0,19.0,53.0,52.0,64.0,52.0,65.0,65.0,59.0,40.0,36.0,70.0,55.0,42.0,27.0,40.0
93,2689.0,3111.0,3389.0,3191.0,3371.0,2798.0,2766.0,2777.0,2511.0,2208.0,2001.0,2281.0,2070.0,1983.0,1810.0,1707.0
94,1353.0,1394.0,1437.0,1222.0,1229.0,1187.0,1238.0,1234.0,964.0,1052.0,1111.0,862.0,887.0,830.0,676.0,825.0
95,1306.0,1528.0,1471.0,1453.0,1600.0,1643.0,1503.0,1364.0,1257.0,1274.0,1070.0,1128.0,1097.0,1146.0,934.0,1002.0
96,2777.0,2938.0,3003.0,2458.0,2664.0,2673.0,2456.0,2087.0,1967.0,2378.0,1949.0,2235.0,1910.0,1462.0,1637.0,1903.0
97,2613.0,3038.0,2971.0,2630.0,2726.0,2570.0,2690.0,2404.0,2249.0,2098.0,1891.0,1877.0,1746.0,1674.0,2101.0,1590.0
98,17958.0,18792.0,18928.0,18727.0,21297.0,19057.0,19730.0,18193.0,16403.0,15431.0,16463.0,15491.0,14953.0,11486.0,10359.0,14093.0
99,6209.0,4839.0,4956.0,6921.0,8522.0,8789.0,9353.0,13471.0,19681.0,22194.0,29325.0,28324.0,35965.0,41711.0,40360.0,41431.0
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
