,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022
0,2050234,2087548,2128340,2171533,2210450,2253072,2293733,2336757,2381695,2425726,2468077,2509283,2536760,2559198,2591316
1,376218,382743,390392,397433,403617,409045,411462,415202,418391,419812,417612,416898,417068,413683,416443
2,53378,53837,54526,54923,55069,55593,55848,56154,56719,57073,56974,57460,58014,58348,58525
3,160410,161191,162171,163933,164995,166758,169074,170640,171717,172069,172149,171993,171360,170690,171713
4,110579,111139,110949,111098,111463,111129,111018,110931,111411,111429,111072,111072,110421,109082,110270
5,189061,190050,190886,191951,192556,193428,193908,193188,192982,192879,193391,193795,195286,196785,198173
6,135008,135232,135423,136079,136505,137144,139297,140659,141654,142161,142132,140897,140515,141577,144272
7,276744,280931,285588,288200,292164,294692,298460,300542,302213,303381,301891,300448,299018,297442,297643
8,251266,253739,257817,260303,262351,264926,267536,269984,272767,276442,277813,278206,276723,276469,277930
9,83152,84519,85488,85921,86908,87894,88791,89593,89922,90220,90345,91367,93100,93922,94215
10,106426,106414,106547,106322,106784,108438,111591,112823,113706,113930,114382,115601,115730,115464,115565
11,197255,197763,199434,201085,203701,206245,208180,210268,211784,212387,213665,213966,213869,213304,213288
12,189000,190086,190501,191588,192822,194424,195793,198074,200485,201493,202629,203304,203749,209147,215431
13,82783,82962,82723,83891,84388,85049,86887,88612,89972,91340,91984,91837,91994,92407,93322
14,206188,206723,209659,211584,213755,215989,217868,219295,220903,221617,222349,224419,225093,228453,232375
15,144561,144974,145219,146498,148238,149470,150318,151084,152603,154841,158311,161427,163159,164744,166917
16,51202,54380,56868,58007,58511,59569,60493,61126,62102,63335,65901,66620,66191,66101,66532
17,94433,95687,96483,96310,96269,96318,96919,98054,99294,100375,101509,102745,102774,103582,103790
18,163149,164667,166261,166868,167562,168427,169494,170595,171365,172166,172459,173503,173625,175707,178831
19,156895,157022,156875,157774,158164,157891,158647,159657,160915,162394,163138,163361,163682,164284,165905
20,176768,177005,177128,177356,177537,177483,177809,178432,179431,180472,181010,181338,181464,182707,184181
21,150990,152292,152975,153158,152766,153016,154618,157906,161571,162589,163740,164481,163904,164496,166686
22,162428,162828,163034,162607,162629,162957,163471,163942,164761,164940,165005,164811,164377,164450,165614
23,123529,124301,124326,124334,123584,123024,122785,123396,124457,124972,125131,125438,125914,125773,125982
24,243436,244285,245097,245442,246406,246289,246375,247469,249276,250270,250667,250550,251524,252318,252484
25,186883,188778,190561,192238,192966,193409,195163,197331,199336,201062,202995,204573,204854,208096,214439
26,96944,97285,97657,97606,97583,98387,99154,99694,99875,100176,100205,99971,99425,99276,99104
27,215624,216441,218347,218640,218577,219391,220736,222045,223615,224370,224743,226397,226862,228577,229193
28,170908,169736,168151,166351,164383,162236,160326,159168,158843,158713,158528,158458,157954,158573,158685
29,390,390,391,409,408,381,372,364,358,324,351,347,346,361,378
30,191172,191608,191494,191757,191892,192134,193724,196231,198667,199884,200225,201302,202091,202437,204525
31,226963,227631,228869,228980,229967,232158,234763,237844,239821,240773,242100,242946,244621,246361,247944
32,106615,107130,107276,107246,107775,107647,108074,108837,109519,109936,110608,111720,112222,113690,115120
33,323431,326049,328494,330847,332819,335030,337919,341634,346306,348141,349949,350260,353404,355851,359692
34,82884,83224,83561,84161,84528,84855,85782,86565,87699,89009,90748,92680,93246,94003,95458
35,141823,141698,141344,140962,140595,140381,140574,141488,142815,144105,145160,146182,146385,147557,148799
36,253606,252208,251226,248983,246850,244764,243671,243480,244484,245064,244409,243432,242015,241468,241402
37,276916,278050,278231,278009,277475,276832,275930,277763,281330,283886,284444,285385,286596,289100,292404
38,199076,198296,196918,195916,194081,193348,193549,194219,195011,195293,195516,194415,193601,193789,194114
